GoodWe library discovery timed out; trying directed UDP broadcast.
Discovery response advertises DTLS; using dtls=True.
Found inverter at 192.168.100.151:8899
label                           |                                                                                         value | sensor
--------------------------------|-----------------------------------------------------------------------------------------------|----------------------------
Timestamp                       |                                                                           2026-06-04 21:42:15 | timestamp
PV1 Voltage                     |                                                                                       155.3 V | vpv1
PV1 Current                     |                                                                                         0.0 A | ipv1
PV1 Power                       |                                                                                           0 W | ppv1
PV2 Voltage                     |                                                                                       149.8 V | vpv2
PV2 Current                     |                                                                                         0.0 A | ipv2
PV2 Power                       |                                                                                           0 W | ppv2
PV Power                        |                                                                                           0 W | ppv
PV2 Mode code                   |                                                                                             2 | pv2_mode
PV2 Mode                        |                                                          PV panels connected, producing power | pv2_mode_label
PV1 Mode code                   |                                                                                             2 | pv1_mode
PV1 Mode                        |                                                          PV panels connected, producing power | pv1_mode_label
On-grid L1 Voltage              |                                                                                         0.0 V | vgrid
On-grid L1 Current              |                                                                                         0.0 A | igrid
On-grid L1 Frequency            |                                                                                        0.0 Hz | fgrid
On-grid L1 Power                |                                                                                           0 W | pgrid
On-grid L2 Voltage              |                                                                                         0.0 V | vgrid2
On-grid L2 Current              |                                                                                         0.0 A | igrid2
On-grid L2 Frequency            |                                                                                        0.0 Hz | fgrid2
On-grid L2 Power                |                                                                                           0 W | pgrid2
On-grid L3 Voltage              |                                                                                         0.0 V | vgrid3
On-grid L3 Current              |                                                                                         0.0 A | igrid3
On-grid L3 Frequency            |                                                                                        0.0 Hz | fgrid3
On-grid L3 Power                |                                                                                           0 W | pgrid3
Grid Mode code                  |                                                                                             2 | grid_mode
Grid Mode                       |                                                                                         Fault | grid_mode_label
Total Power                     |                                                                                         480 W | total_inverter_power
Active Power                    |                                                                                           0 W | active_power
On-grid Mode code               |                                                                                             0 | grid_in_out
On-grid Mode                    |                                                                                          Idle | grid_in_out_label
Reactive Power                  |                                                                                       483 var | reactive_power
Apparent Power                  |                                                                                          0 VA | apparent_power
Back-up L1 Voltage              |                                                                                       231.8 V | backup_v1
Back-up L1 Current              |                                                                                         0.8 A | backup_i1
Back-up L1 Frequency            |                                                                                      50.07 Hz | backup_f1
Load Mode L1                    |                                                                                             1 | load_mode1
Back-up L1 Power                |                                                                                           6 W | backup_p1
Back-up L2 Voltage              |                                                                                       228.3 V | backup_v2
Back-up L2 Current              |                                                                                         0.5 A | backup_i2
Back-up L2 Frequency            |                                                                                      50.07 Hz | backup_f2
Load Mode L2                    |                                                                                             1 | load_mode2
Back-up L2 Power                |                                                                                          64 W | backup_p2
Back-up L3 Voltage              |                                                                                       231.6 V | backup_v3
Back-up L3 Current              |                                                                                         4.0 A | backup_i3
Back-up L3 Frequency            |                                                                                      50.08 Hz | backup_f3
Load Mode L3                    |                                                                                             1 | load_mode3
Back-up L3 Power                |                                                                                         490 W | backup_p3
Load L1                         |                                                                                           0 W | load_p1
Load L2                         |                                                                                           0 W | load_p2
Load L3                         |                                                                                           0 W | load_p3
Back-up Load                    |                                                                                         560 W | backup_ptotal
Load                            |                                                                                           0 W | load_ptotal
Ups Load                        |                                                                                          18 % | ups_load
Inverter Temperature (Air)      |                                                                                        47.1 C | temperature_air
Inverter Temperature (Module)   |                                                                                        44.8 C | temperature_module
Inverter Temperature (Radiator) |                                                                                        44.8 C | temperature
Function Bit                    |                                                                                         16385 | function_bit
Bus Voltage                     |                                                                                       765.5 V | bus_voltage
NBus Voltage                    |                                                                                       382.7 V | nbus_voltage
Battery Voltage                 |                                                                                       398.2 V | vbattery1
Battery Current                 |                                                                                         1.5 A | ibattery1
Battery Power                   |                                                                                         575 W | pbattery1
Battery Mode code               |                                                                                             2 | battery_mode
Battery Mode                    |                                                                                     Discharge | battery_mode_label
Warning code                    |                                                                                             0 | warning_code
Safety Country code             |                                                                                            13 | safety_country
